stock_code,trade_date,close,pre_close,prev_close,change_pct,change_amount,adj_factor,prev_f,prev_date,data_source,domain,same_factor,eq_violated,judgement,dev
000001,1992-08-03,14.440,45.598,45.600,-68.3317,-31.158,1.97560386,1.97560386,1992-07-31,TENCENT,pre1996,True,True,possible_legal,4.385964912286062e-05
000001,1992-08-04,44.200,14.441,14.440,206.0638,29.759,1.97560386,1.97560386,1992-08-03,TENCENT,pre1996,True,True,possible_legal,6.925207756241151e-05
000002,1991-11-12,14.650,10.552,-8.810,38.8408,4.098,1.42272727,,1991-11-09,TENCENT,pre1996,False,False,possible_legal,
000002,1992-12-03,29.100,22.001,22.000,32.2684,7.099,1.70730051,1.70730051,1992-12-02,TENCENT,pre1996,True,True,possible_legal,4.5454545454601004e-05
000003,1991-10-09,15.300,10.300,10.300,48.5437,5.000,1.00000000,1.00000000,1991-10-08,TENCENT,pre1996,True,False,possible_legal,0.0
000003,1994-08-01,6.150,4.466,4.520,37.7049,1.684,3.27804878,3.24214309,1994-07-29,TENCENT,pre1996,False,False,possible_legal,0.011946902654867121
000003,2002-01-25,1.890,3.275,2.700,-42.2948,-1.385,3.64550265,4.42222222,2002-01-11,TENCENT,constrained,False,False,possible_legal,0.21296296296296285
000004,1991-07-18,4.000,2.844,3.150,40.6566,1.156,1.39250000,1.25714286,1991-07-17,TENCENT,pre1996,False,False,possible_legal,0.09714285714285716
000004,1994-08-01,6.000,3.847,4.500,55.9692,2.153,4.05000000,3.46222222,1994-07-29,TENCENT,pre1996,False,False,possible_legal,0.1451111111111111
000004,1995-05-18,5.960,4.001,4.600,48.9480,1.959,4.03859060,3.51304348,1995-05-17,TENCENT,pre1996,False,False,possible_legal,0.13021739130434767
000004,2026-06-23,0.310,,2.760,-158.6710,,4.47101449,4.47101449,2026-04-27,TENCENT,constrained,True,False,possible_legal,
000005,1994-08-01,3.210,2.150,2.150,49.3023,1.060,1.00000000,1.00000000,1994-07-29,TENCENT,pre1996,True,False,possible_legal,0.0
000005,1994-12-15,6.280,4.674,5.000,34.3714,1.606,1.85611920,1.73273146,1994-12-14,TENCENT,pre1996,False,False,possible_legal,0.06519999999999992
000005,1995-05-18,6.300,4.668,5.000,34.9481,1.632,1.85714286,1.73246185,1995-05-17,TENCENT,pre1996,False,False,possible_legal,0.06639999999999997
000006,1992-10-26,27.600,47.200,47.200,-41.5254,-19.600,1.00000000,1.00000000,1992-10-23,TENCENT,pre1996,True,False,possible_legal,0.0
000006,2006-01-12,4.800,3.558,4.270,34.8885,1.242,6.80522565,5.67095116,2005-12-02,SINA,constrained,False,False,possible_legal,0.16674473067915688
000007,1994-08-01,5.480,4.079,4.080,34.3541,1.401,2.56225657,2.56225657,1994-07-29,SINA,pre1996,True,True,possible_legal,0.00024509803921576813
000008,1994-08-01,4.480,3.122,3.120,43.5130,1.358,1.60480385,1.60480385,1994-07-29,SINA,pre1996,True,True,possible_legal,0.0006410256410255704
000008,1995-05-18,6.050,4.468,4.470,35.3982,1.582,1.77023568,1.77023568,1995-05-17,SINA,pre1996,True,True,possible_legal,0.0004474272930648277
000008,1995-08-18,7.650,5.401,5.400,41.6318,2.249,1.77023568,1.77023568,1995-08-17,SINA,pre1996,True,True,possible_legal,0.00018518518518508253
000008,1996-06-05,5.350,3.959,3.960,35.1492,1.391,1.94725275,1.94725275,1996-06-04,SINA,pre1996,True,True,possible_legal,0.0002525252525252247
000009,1991-11-12,14.100,10.400,0.930,35.5769,3.700,1.00000000,,1991-11-09,TENCENT,pre1996,False,False,possible_legal,10.182795698924732
000009,1991-11-19,14.100,10.500,10.500,34.2857,3.600,1.00000000,1.00000000,1991-11-18,TENCENT,pre1996,True,False,possible_legal,0.0
000009,1994-05-03,11.250,8.397,8.400,33.9726,2.853,1.30396797,1.30396797,1994-04-29,SINA,pre1996,True,True,possible_legal,0.00035714285714287064
000009,1995-05-19,5.380,4.081,4.080,31.8430,1.299,2.24677716,2.24677716,1995-05-17,SINA,pre1996,True,True,possible_legal,0.00024509803921576813
000011,2009-11-03,14.050,10.446,14.520,34.4955,3.604,3.10249110,2.23207547,2009-10-13,SINA,constrained,False,False,possible_legal,0.28057851239669424
000012,1992-03-02,9.850,22.000,22.000,-55.2273,-12.150,1.00000000,1.00000000,1992-02-28,TENCENT,pre1996,True,False,possible_legal,0.0
000012,1992-12-03,27.500,17.000,17.000,61.7647,10.500,1.00000000,1.00000000,1992-12-02,TENCENT,pre1996,True,False,possible_legal,0.0
000012,1994-08-01,7.100,4.728,4.730,50.1538,2.372,2.06169154,2.06169154,1994-07-29,SINA,pre1996,True,True,possible_legal,0.00042283298097265705
000012,2006-05-24,8.430,5.734,7.770,47.0055,2.696,9.81226054,7.24144487,2006-04-14,SINA,constrained,False,False,possible_legal,0.262033462033462
000013,1994-08-01,4.150,2.856,3.040,45.3303,1.294,1.53687858,1.44407895,1994-07-29,TENCENT,pre1996,False,False,possible_legal,0.06052631578947374
