2025-08-16 15:48:08,418 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:49:56,100 - INFO - ============================================================
2025-08-16 15:49:56,110 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:49:56,110 - INFO - 清空基金基本信息...
2025-08-16 15:49:56,188 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:03,010 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:03,035 - ERROR - ✗ 插入基金基本信息失败: 'stock_code'
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - 📊 本周数据更新统计
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - ⏱️  更新耗时: 0:00:06.937023
2025-08-16 15:50:03,038 - INFO - ✅ 无错误
2025-08-16 15:50:03,038 - INFO - ============================================================
2025-08-16 15:50:03,038 - INFO - 🎉 本周数据更新完成！
2025-08-16 15:50:03,038 - INFO - 数据库连接已关闭
2025-08-16 15:50:03,039 - INFO - ✅ 每周数据更新成功完成
2025-08-16 15:50:48,059 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:50:48,059 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:50:48,060 - INFO - ============================================================
2025-08-16 15:50:48,060 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:50:48,060 - INFO - 清空基金基本信息...
2025-08-16 15:50:48,177 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:55,108 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:55,125 - WARNING - 处理基金 000137 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,126 - WARNING - 处理基金 000138 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,128 - WARNING - 处理基金 000139 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,130 - WARNING - 处理基金 000140 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,132 - WARNING - 处理基金 000141 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,133 - WARNING - 处理基金 000142 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,134 - WARNING - 处理基金 000143 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,136 - WARNING - 处理基金 000147 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,137 - WARNING - 处理基金 000148 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,140 - WARNING - 处理基金 000149 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,141 - WARNING - 处理基金 000150 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,144 - WARNING - 处理基金 000152 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,145 - WARNING - 处理基金 000153 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,147 - WARNING - 处理基金 000154 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,148 - WARNING - 处理基金 000155 失败: (1406, "Data too long for column 'fund_type' at row 1")
